District,Murder,"Hurt 
",AssaultonWomen,"KidnappingandAbduction 
",Rape,UnlawfulAssembly,"Theft 
","Burglary 
",ForgeryCheatingFraud ,OffencesRelatingtoDocumentsPropertyMarks ,"RashDrivingonPublicway 
",CriminalTrespass 
Outer,46,444,115,554,80,0,14891,217,238,238,244,6
RAILWAY,2,2,1,10,0,0,2249,0,6,7,1,0
South,36,286,125,334,99,0,12127,217,346,346,265,10
South-East,32,445,233,479,130,0,14384,251,506,506,394,15
South-West,17,196,122,317,101,0,9510,130,273,273,313,13
Spl Cell,0,0,8,0,0,0,0,0,117,122,0,0
SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
West,29,288,144,323,84,0,16224,160,394,394,282,14
Rohini,46,261,128,354,74,0,13086,179,245,245,159,15
Shahdara,12,329,115,211,54,0,11483,216,267,270,145,11
Dwarka,43,559,280,472,133,0,15847,128,494,495,359,46
Outer North,52,403,88,672,59,0,9005,185,241,241,256,21
Kargil,4,5,2,1,1,0,4,3,8,8,92,0
Leh,1,28,3,3,1,0,6,8,13,13,95,2
Lakshadweep,1,17,1,0,0,6,7,0,1,1,1,2
