District,Murder,"Hurt 
",Assault on Women,"Kidnapping and Abduction 
",Rape,Unlawful Assembly,"Theft 
","Burglary 
","Forgery, Cheating & Fraud ",Offences Relating to Documents & Property Marks ,"Rash Driving on Public way 
",Criminal Trespass 
Yavatmal,68,1431,187,128,43,12,717,152,56,56,425,41
Pimpri Chinchwad City,71,782,250,313,92,0,1433,271,232,235,1049,53
Aurangabad Railway,0,8,6,3,0,0,1371,0,2,2,0,0
Mira Bhayandar Vasai Virar Commr.,38,880,280,400,87,13,1243,388,431,432,288,52
Bishnupur,9,8,2,3,6,0,26,3,0,0,36,0
Chandel,2,3,0,0,0,0,7,3,0,0,0,0
Churachandpur,3,5,0,4,0,0,18,3,6,6,11,3
CID,0,0,2,0,0,0,1,0,41,41,0,0
Imphal East,5,32,12,17,3,0,185,9,30,30,55,2
Imphal West,14,46,30,27,10,0,266,19,41,41,97,5
Senapati,1,1,0,0,1,0,2,0,0,0,2,0
Tamenglong,0,1,0,2,0,0,1,0,2,2,1,0
Thoubal,6,48,9,13,5,0,111,10,12,12,71,2
Ukhrul,0,1,0,0,0,0,2,0,0,0,1,0
Kakching,1,6,2,9,6,0,23,8,2,2,24,0
Kamjong,0,0,0,0,0,0,1,0,0,0,0,1
Kangpokpi,1,3,1,2,0,1,8,0,0,0,11,1
Jiribam,0,3,0,3,0,0,1,1,0,0,4,0
Noney,3,5,2,1,0,0,0,0,0,0,6,2
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,1,0,1,0,1,0,7,1,2,2,1,0
Narcotic,0,0,0,0,0,0,0,0,0,0,0,0
Garo Hills East,0,4,5,1,2,0,21,7,2,2,2,1
Garo Hills North,3,4,2,3,3,0,13,1,5,5,3,0
Garo Hills South,3,4,0,3,1,0,13,5,5,5,3,3
Garo Hills South West,1,8,1,8,3,0,21,0,1,1,0,2
Garo Hills West,11,21,6,19,7,0,67,18,43,43,11,4
Jaintia Hills West,10,19,5,6,5,0,48,0,6,6,6,1
Jaintia Hills East,15,9,10,11,7,0,61,10,19,19,10,0
Khasi Hills East,14,53,45,28,12,0,382,150,172,173,23,7
Khasi Hills South West,1,11,3,1,2,0,4,4,2,4,0,6
Khasi Hills West,11,4,3,5,12,0,17,12,3,4,3,0
Ri-Bhoi,10,28,6,6,13,0,64,23,36,36,23,0
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0
Aizawl,8,54,11,1,19,0,478,290,88,88,7,20
Champhai,1,11,0,0,3,0,9,12,3,3,7,1
Kolasib,7,4,3,1,3,0,59,28,0,0,2,2
Lawngtlai,5,5,1,0,0,0,15,12,1,1,0,2
Lunglei,2,8,3,0,0,0,41,26,7,7,0,0
Mamit,3,7,3,1,6,0,25,17,0,0,1,4
Saiha,1,10,1,0,0,0,17,16,0,0,1,0
Serchhip,0,3,1,0,0,0,24,12,1,1,1,1
Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0
Saitual,0,0,0,0,0,0,0,0,0,0,0,0
Khawzawl,0,1,3,0,2,0,4,2,1,1,0,0
Hnahthial,1,1,0,0,0,0,4,6,0,0,3,0
Cyber,0,0,0,0,0,0,0,0,0,0,0,0
Dimapur,11,8,5,20,2,0,313,42,53,55,5,0
Kiphire,1,1,0,0,1,0,3,0,1,1,0,0
Kohima,0,2,0,1,0,0,17,7,14,14,4,0
Longleng,0,1,0,0,0,0,7,0,1,1,0,0
Mokokchung,2,4,2,0,0,0,13,1,4,4,0,0
Mon,2,5,0,2,0,0,12,9,3,3,1,0
Peren,3,0,0,0,0,0,3,0,0,0,0,0
Phek,0,1,0,0,1,0,1,0,2,2,0,0
Tuensang,2,0,0,0,0,0,1,8,0,0,1,0
Wokha,2,7,0,0,0,0,13,0,2,2,0,0
Zunheboto,2,3,0,1,0,0,3,4,2,2,0,0
Angul,40,1450,667,137,46,0,359,140,164,164,203,0
Balasore,95,69,622,295,65,0,451,265,117,118,195,0
Baragarh,48,284,281,71,34,0,208,144,65,66,104,0
Berhampur,28,1,384,70,32,0,234,132,101,101,78,0
Bhadrak,50,1606,348,242,34,0,300,153,132,133,140,0
Bolangir,44,824,599,123,25,0,392,153,88,88,160,0
Boudh,23,0,104,28,11,0,61,17,19,20,76,0
Cuttack,50,1988,323,142,37,0,218,155,88,88,211,0
DCP BBSR,49,2023,256,198,49,0,1862,350,518,520,355,0
DCP CTC,24,2125,223,153,20,0,542,168,330,331,228,0
Deogarh,21,313,89,19,33,9,40,16,17,17,57,11
Dhenkanal,47,327,494,168,44,0,215,90,44,44,195,0
Gajapati,14,0,139,42,9,0,53,32,42,42,51,0
Ganjam,61,0,595,63,56,0,221,153,139,140,184,0
Jagatsinghpur,49,1,652,151,40,0,151,122,124,124,108,0
Jajpur,79,859,848,210,57,0,444,225,153,156,227,0
Jharsuguda,16,373,222,69,27,0,204,103,86,87,97,0
Kalahandi,25,0,447,131,38,0,118,81,61,62,150,0
Kandhamal,23,1,106,72,47,0,73,52,19,20,86,0
Kendrapara,46,90,794,181,37,9,161,174,90,90,136,0
Keonjhar,81,0,374,150,33,0,294,170,82,82,314,0
Khurda,37,489,305,79,17,0,244,74,40,40,136,0
Koraput,42,9,323,104,33,0,173,106,66,66,151,0
Malkangiri,42,0,192,88,15,0,51,46,64,64,56,0
Mayurbhanj,104,767,502,299,138,0,495,243,158,160,197,0
Nayagarh,39,413,157,94,18,33,151,72,37,38,144,0
Nabarangpur,23,37,275,149,26,0,94,36,66,66,69,0
Nuapada,18,0,123,58,3,0,100,60,34,34,57,0
Puri,55,1708,1027,195,53,0,514,275,101,101,238,0
Rayagada,30,124,182,92,22,40,130,75,88,89,175,15
Rourkela,51,418,202,106,39,0,436,167,88,88,256,0
Sambalpur,42,1635,434,105,31,0,468,235,121,121,281,0
Sonepur,26,164,98,18,12,0,138,58,41,41,32,0
SRP(Cuttack),4,18,4,1,2,0,399,3,2,2,0,0
SRP(Rourkela),0,11,5,3,0,0,173,8,3,3,0,0
Sundargarh,44,130,195,73,28,5,236,147,51,51,124,2
CID CB,0,0,14,0,0,0,9,0,85,85,0,0
Amritsar Rural,41,267,46,85,19,0,158,123,90,90,29,70
Barnala,15,195,17,36,8,0,95,57,43,43,34,40
Batala,30,255,16,46,7,0,81,97,78,78,16,24
Bathinda,52,329,34,47,33,0,237,139,185,186,84,113
CP Amritsar,34,229,43,76,15,0,1102,226,145,145,36,75
CP Jalandhar,19,184,18,68,9,0,232,144,123,125,41,50
CP Ludhiana,52,517,45,135,37,0,1214,215,220,225,121,90
Faridkot,17,140,21,41,10,0,151,72,60,61,31,19
Fatehgarh Sahib,12,180,14,38,9,0,79,43,88,88,64,5
Fazilka,31,358,33,38,38,0,90,83,151,151,32,141
Ferozepur,26,314,21,41,16,0,124,93,83,83,0,6
GRP,13,24,0,1,0,0,161,2,1,1,7,0
Gurdaspur,9,161,14,33,10,0,74,46,109,109,20,5
Hoshiarpur,27,265,31,49,21,0,235,131,175,178,52,58
Jalandhar Rural,35,233,37,36,16,0,141,106,122,123,32,37
Kapurthala,28,241,21,79,13,0,212,105,56,57,33,0
Khanna,9,209,17,38,9,0,75,54,45,47,38,14
Ludhiana Rural,17,140,12,32,7,0,82,66,50,50,0,39
Mansa,24,176,9,33,17,0,96,76,52,53,60,45
Moga,24,146,19,30,9,0,106,77,43,44,25,18
Muktsar,29,234,31,50,21,0,159,78,53,53,37,54
Pathankot,8,90,13,29,15,0,61,41,53,53,28,22
Patiala,46,505,46,89,19,0,353,243,306,309,187,106
Ropar,20,174,28,25,34,0,95,53,89,90,60,29
Sangrur,39,504,69,68,62,0,283,208,178,179,124,112
SAS Nagar,37,157,27,96,25,0,490,142,261,263,188,0
SBS Nagar,14,136,23,20,8,0,68,73,180,180,30,13
Tarn Taran,49,251,23,40,14,0,145,120,53,53,13,50
Bureau of Investigation,0,0,3,0,0,0,0,0,32,32,0,0
Intelligence Wing,0,0,0,0,0,0,0,0,1,1,0,0
NRI Wing,0,0,0,0,1,0,2,0,78,78,0,0
Special Task Force,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,47,2199,589,293,208,30,865,336,1159,1160,568,158
Alwar,79,1814,354,230,216,1,1485,176,662,664,374,693
Banswara,49,838,140,188,93,107,187,122,73,73,251,0
Baran,35,1540,337,164,121,45,471,100,139,139,234,136
Barmer,48,901,414,104,227,31,650,214,246,248,237,1209
Bharatpur,101,731,85,266,260,0,1420,83,849,850,332,0
Bhilwara,35,737,392,278,173,517,771,272,633,634,441,611
Bikaner,64,224,211,107,166,0,402,161,378,382,182,0
Bundi,24,969,242,142,103,176,265,96,170,170,303,0
Chittorgarh,34,965,228,206,124,51,752,181,344,344,249,0
Churu,37,521,92,107,140,0,295,142,334,335,142,0
Dausa,39,94,53,143,114,1171,792,67,527,528,289,0
Dholpur,50,1046,191,114,96,0,459,50,180,181,158,0
Dungarpur,30,475,129,193,97,0,124,31,82,82,232,275
GRP Ajmer,1,31,4,1,2,1,385,0,2,2,0,0
GRP Jodhpur,3,10,2,2,1,0,76,0,0,0,0,0
Ganganagar,73,1374,292,163,200,0,369,179,642,645,144,38
Hanumangarh,52,943,204,107,172,0,342,147,424,426,121,0
Jaipur East,28,506,157,119,98,214,2263,188,837,838,493,32
Jaipur North,11,216,92,101,80,10,794,109,449,449,87,0
Jaipur Rural,41,430,142,135,123,253,855,142,617,621,556,0
Jaipur South,27,329,111,150,99,0,1888,177,828,828,296,0
Jaipur West,29,454,97,162,132,14,1545,223,942,944,506,0
Jaisalmer,19,577,121,37,27,0,175,74,132,134,47,0
Jalore,44,1363,240,102,78,0,396,191,180,182,122,0
Jhalawar,43,1257,347,202,158,351,584,106,208,209,316,69
Jhunjhunu,53,1362,115,147,102,0,433,143,496,498,285,0
Jodhpur East,16,389,136,49,54,0,578,134,478,478,129,0
Jodhpur West,16,398,150,81,54,0,744,148,357,358,161,39
Jodhpur Rural,42,1015,247,89,109,0,524,158,275,275,161,422
Karauli,47,40,142,125,116,264,584,47,268,268,129,0
Kota City,25,794,207,155,133,2,1192,93,588,589,299,45
Kota Rural,17,304,176,85,76,36,248,67,121,121,153,0
Nagaur,48,1217,260,171,149,0,581,231,449,450,204,47
Pali,50,267,419,177,137,0,500,259,581,582,153,0
Pratapgarh,30,445,146,143,133,8,154,43,148,148,112,56
Rajsamand,24,817,193,142,73,196,366,124,197,198,300,144
Sawai Madhopur,30,286,256,123,113,0,527,51,248,248,169,0
Sikar,58,337,176,217,129,1,928,132,836,840,439,0
Sirohi,44,414,169,61,96,1,270,92,233,234,162,0
Tonk,30,1757,145,114,104,159,484,150,342,342,264,0
Udaipur,86,1652,287,323,228,303,795,251,550,553,593,157
Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0
SCRB,0,0,0,0,0,0,0,0,0,0,0,0
SOG,0,0,1,0,0,0,0,0,31,32,0,0
SSB,0,0,0,0,0,0,0,0,0,0,0,0
Jaipur Crime,0,0,0,0,0,0,0,0,74,74,0,0
Bhiwadi,60,1673,170,216,196,0,1177,138,813,815,363,299
East,2,31,16,21,7,0,18,17,22,22,50,2
North,1,4,0,1,2,0,1,0,0,0,5,1
South,4,21,2,8,3,0,9,6,3,3,30,4
West,4,6,0,2,0,0,1,4,4,4,11,0
Ariyalur,19,588,6,6,9,140,32,24,19,19,340,0
Chennai,150,2397,61,37,31,692,4788,817,667,669,3534,71
Coimbatore,44,938,4,6,7,75,243,117,49,51,1370,7
Coimbatore City,31,530,2,4,2,41,238,56,88,90,642,0
Cuddalore,53,2891,23,41,32,113,177,112,30,31,2331,1
Dharmapuri,25,746,12,15,4,0,84,30,17,18,831,0
Dindigul,52,2025,30,15,8,19,186,108,60,60,1255,16
Erode,41,1738,22,26,6,0,198,85,47,50,1497,2
Kanchipuram,24,159,1,7,5,0,73,49,44,44,531,1
Kanyakumari,31,1211,10,30,11,27,333,259,58,58,996,14
Karur,16,253,20,7,4,0,85,44,40,41,810,0
Krishnagiri,54,938,14,16,4,0,114,60,37,37,1024,2
Madurai,68,475,26,17,17,13,268,127,87,87,1222,101
Madurai City,40,325,18,15,8,0,308,83,208,209,455,144
Nagapattinam,41,690,48,11,14,0,134,81,4,4,581,0
Namakkal,37,548,26,18,2,0,84,77,46,46,1284,0
Nilgiris,7,193,11,1,7,0,37,36,12,13,138,0
Perambalur,15,175,12,2,3,41,114,59,13,13,355,0
Pudukottai,36,738,51,18,7,252,155,94,99,102,921,5
Ramnathapuram,41,1386,23,20,15,170,181,123,81,82,730,0
Railway Chennai,2,28,1,1,0,0,1097,0,1,1,2,0
Railway Trichy,1,22,0,0,0,0,110,0,0,0,0,0
Salem,51,1595,69,40,6,0,121,67,34,34,1207,0
Salem City,27,313,7,11,1,33,175,94,33,33,519,1
Sivagangai,23,1163,24,34,9,26,134,80,65,65,651,0
Thanjavur,81,1818,84,13,3,93,181,140,48,48,1026,3
Theni,33,946,10,2,5,91,88,75,47,47,678,41
Thirunelveli,40,1516,44,6,8,47,189,132,46,48,573,21
Thirunelveli City,14,288,12,5,2,0,269,77,98,102,239,8
Thiruvallur,43,657,8,5,8,0,160,156,55,56,744,17
Thiruvannamalai,43,1062,10,33,16,94,135,47,26,26,760,2
Thiruvarur,26,577,26,61,10,0,91,71,15,15,579,0
Thoothukudi,60,1257,17,17,10,51,272,138,95,95,776,29
Tiruppur,24,356,17,5,4,42,89,50,19,23,1456,2
Tiruppur City,22,307,5,4,2,184,112,49,40,41,583,0
Trichy,44,1080,24,18,17,24,170,119,50,51,958,24
Trichy City,18,579,10,7,6,0,251,59,46,46,311,0
Vellore,35,195,7,15,5,12,118,41,17,20,568,0
Villupuram,45,757,35,71,21,94,129,108,50,50,1506,9
Virudhunagar,63,610,12,9,13,0,119,70,45,45,783,27
Cyber Cell,0,0,0,0,0,0,0,0,2,2,0,0
Other Units,0,0,0,0,0,0,0,0,0,0,0,0
Chengalpattu,48,199,6,0,12,0,69,66,18,19,906,0
Kallakurichi,21,752,17,55,17,94,131,43,29,29,672,12
Ranipet,19,261,6,3,3,0,151,28,41,41,618,0
Tiruppattur,22,246,14,35,9,195,150,60,30,30,578,21
Tenkasi,31,1041,7,3,6,344,149,64,63,66,633,0
Cyberabad Commissionerate,92,3102,630,440,107,0,1816,621,2730,2730,2785,1536
Hyderabad Commissionerate,71,1550,451,451,92,4,1932,358,3307,3311,1793,352
Karimnagar Commissionerate,18,961,165,23,21,0,153,72,289,289,52,395
Khammam Commissionerate,30,920,175,91,24,20,209,140,266,267,470,123
Nizamabad Commissionerate,42,845,127,22,13,0,407,205,316,316,351,269
Rachakonda Commissionerate,68,1866,1040,183,155,0,1282,626,1699,1699,1803,1211
Ramagundam Commissionerate,30,1664,254,52,31,3,273,137,512,512,88,353
Siddipet Commissionerate,20,913,162,27,15,0,392,204,211,211,504,632
Warangal Commissionerate,35,1525,227,152,32,0,250,160,527,528,637,0
Adilabad,11,220,50,22,8,0,89,35,68,68,105,46
Bhadradri Kothagudem,23,798,178,85,30,37,150,147,145,145,285,235
Jagityal,25,690,97,24,24,0,100,57,247,247,203,0
Jayashankar Bhupalpalli,11,454,84,34,5,0,42,27,152,152,101,90
Jogulamba Gadwal,8,329,52,5,5,0,213,36,141,141,101,133
Kamareddy ,30,651,75,16,14,0,228,171,113,113,315,279
Kumaram Bheem Asifabad,20,328,47,27,13,0,89,34,159,159,33,18
Mahabubabad,17,513,86,45,12,0,87,69,131,132,139,121
Mahabubnagar,18,693,104,64,17,0,124,90,85,85,14,93
Medak,27,593,85,20,7,0,142,84,63,63,209,171
Nagarkurnool,26,745,74,42,16,0,92,58,75,75,35,165
Nalgonda,28,976,173,50,14,1,143,114,293,294,378,8
Nirmal,20,291,36,8,9,0,100,42,37,37,113,23
Rajanna Siricilla,14,518,85,25,19,0,64,45,143,144,149,0
Sangareddy,40,641,71,23,16,0,336,188,174,174,428,0
Suryapet,26,1261,222,54,27,7,137,74,276,277,265,41
Vikarabad,25,607,46,39,11,2,120,85,51,51,237,154
Wanaparthy,12,465,46,3,10,0,150,41,68,68,13,118
Railway Police Secunderabad,2,11,4,0,0,0,267,0,2,2,0,0
Mulug,7,210,33,16,8,6,41,22,44,44,87,51
Narayanpet,6,407,28,13,9,0,47,15,72,72,2,0
Dhalai,16,73,11,8,9,0,13,6,7,7,21,12
Gomati,14,163,13,14,11,1,43,8,14,14,50,0
GRP,2,1,0,0,0,0,1,0,0,0,0,0
Kowai,5,141,17,14,10,0,28,19,14,14,20,0
North,12,72,6,10,9,0,38,17,12,13,21,0
Sipahijala,10,143,5,18,7,0,23,9,10,11,36,7
South,17,182,11,18,7,0,33,11,16,16,38,15
Unakoti,10,94,13,10,8,0,10,8,11,11,12,0
West,28,336,39,35,18,0,164,55,87,87,89,28
Agra,113,1997,202,183,80,0,1683,321,282,282,437,0
Aligarh,110,626,374,456,74,0,929,171,402,403,444,48
Prayagraj,108,1142,393,348,121,0,1506,569,416,419,1168,0
Ambedkar Nagar,32,468,122,101,22,32,203,51,77,77,152,0
Amethi,34,2492,76,72,33,0,192,58,61,61,113,0
Amroha,43,70,62,42,34,0,226,25,46,46,110,0
Auraiya,33,106,82,151,28,0,184,44,47,49,247,424
Azamgarh,62,432,191,220,24,0,319,119,95,96,204,0
Badaun,51,811,101,189,19,0,161,22,37,37,189,55
Baghpat,64,175,51,174,29,0,328,29,103,103,186,0
Bahraich,49,1898,156,294,39,0,344,108,147,147,252,0
Ballia,35,334,58,104,16,2,148,69,107,107,118,90
Balrampur,13,212,51,125,8,57,77,32,86,86,71,177
Banda,40,469,83,177,36,0,141,47,41,41,203,15
Barabanki,67,348,139,135,50,0,249,86,129,129,214,1763
Bareilly,88,359,236,292,30,0,723,111,350,351,296,0
Basti,19,196,100,82,32,0,70,43,58,59,152,0
Bijnor,72,609,124,29,43,0,364,46,160,162,489,0
Bulandshahar,95,2769,176,150,55,0,804,117,261,263,394,18
Chandoli,12,237,28,28,14,0,169,51,60,61,71,9
Chitrakoot,26,141,61,17,35,0,60,23,30,31,150,0
Deoria,22,755,12,33,9,0,119,35,137,137,735,0
Etah,24,760,126,84,11,0,287,32,175,175,255,50
Etawah,39,1635,51,77,10,0,235,32,79,79,279,14
Ayodhya,52,235,168,256,43,35,340,70,404,406,205,235
Fatehgarh,64,199,21,136,29,0,122,46,106,106,156,0
Fatehpur,48,473,155,131,78,0,244,63,74,74,236,0
Firozabad,106,599,208,320,18,0,598,82,172,172,269,650
GRP,9,39,21,12,1,0,1531,0,11,12,1,0
Gautambudh Nagar,84,239,144,277,44,0,2144,182,367,368,355,0
Ghaziabad,54,2978,124,125,25,0,2243,88,520,527,497,62
Ghazipur,39,536,218,92,31,8,306,105,107,107,102,0
Gonda,39,657,81,165,26,0,139,43,126,128,306,286
Gorakhpur,83,577,242,494,82,0,746,190,279,280,748,0
Hamirpur,28,429,75,46,15,0,84,19,39,39,122,0
Hapur,20,1320,70,91,21,0,402,42,63,65,130,0
Hardoi,72,3224,159,136,56,0,183,83,122,122,0,0
Hathras,33,166,136,125,26,0,229,53,62,62,159,2
Jalaun,22,16,75,56,11,0,161,36,88,88,211,0
Jaunpur,61,1962,82,116,20,0,368,70,123,125,217,0
Jhansi,41,557,145,84,42,0,227,44,69,69,296,198
Kannauj,16,11,100,124,13,0,114,25,51,51,197,0
Kanpur Dehat,34,252,72,171,9,0,136,56,0,0,313,190
Kanpur Nagar,93,165,289,288,64,0,907,171,223,224,707,50
Kasganj,48,169,285,159,44,0,234,41,79,79,196,0
Kaushambi,43,119,95,121,7,0,216,88,73,73,178,0
Khiri,67,1586,157,722,33,0,369,75,89,89,186,93
Kushi Nagar,26,891,104,313,13,17,140,44,48,48,293,10
Lalitpur,13,161,36,10,3,0,70,16,18,18,110,52
Lucknow Commissionarate,81,1050,421,735,76,13,1933,413,1675,1681,878,423
Maharajganj,29,152,13,37,12,0,134,46,67,67,162,1
Mahoba,20,246,47,57,15,0,67,31,25,25,115,0
Mainpuri,73,899,104,264,19,0,335,55,82,82,273,0
Mathura,95,321,338,141,64,0,1112,190,144,145,346,0
Mau,25,1611,92,84,28,0,205,66,127,127,109,0
Meerut,97,1155,150,245,59,1,1554,108,216,218,459,324
Mirzapur,24,243,47,42,10,0,147,48,60,60,136,6
Moradabad,67,667,221,232,89,0,668,89,313,314,258,5
Muzaffarnagar,69,1738,34,61,48,0,402,46,112,113,205,0
Pilibhit,46,710,110,238,82,1,150,52,128,129,211,14
Pratapgarh,73,2783,240,451,40,0,681,132,242,245,475,0
Raibareilly,59,3682,160,293,85,3,306,108,118,118,219,0
Rampur,39,189,50,86,29,0,160,32,157,158,121,76
Saharanpur,39,793,145,217,45,0,352,49,237,238,477,221
Sambhal,42,490,85,98,35,0,216,32,100,102,120,156
Sant Kabirnagar,11,212,72,77,26,0,66,41,33,33,84,0
Shahjahanpur,48,1625,169,158,34,0,139,33,228,229,362,64
Shamli,25,316,93,47,19,0,247,33,25,25,70,0
Shrawasti,23,220,51,96,10,0,77,19,64,64,43,8
Sidharthnagar,14,7,81,87,25,0,50,21,27,27,52,0
Sitapur,70,4232,195,252,102,0,363,133,135,135,163,0
Sonbhadra,44,199,28,38,28,1,112,40,60,60,116,5
Bhadohi,23,273,47,58,17,0,135,35,33,33,0,18
Sultanpur,67,3671,144,153,56,0,297,70,112,112,160,193
Unnao,51,2113,186,272,36,0,313,88,120,120,305,0
Varanasi,58,3220,159,183,62,12,1163,332,811,812,260,411
Lucknow Grameen,21,193,65,78,12,0,92,46,48,48,64,0
Almora,0,0,3,9,2,0,4,2,10,10,2,0
Bageshwar,4,0,11,20,9,0,10,7,15,15,0,0
Chamoli,2,14,6,23,7,0,12,8,11,11,12,0
Champawat,1,21,6,17,4,3,7,2,8,9,3,0
Dehradun,22,252,90,88,55,0,229,59,372,373,131,27
Haridwar,57,1,138,198,155,0,449,77,279,280,0,0
Nainital,12,122,53,141,52,0,124,60,97,98,75,12
Pauri Garhwal,2,11,12,26,13,0,11,3,19,19,17,0
Pithoragarh,4,50,16,21,7,0,19,5,8,8,6,1
Rudra Prayag,1,4,3,9,3,0,3,2,16,16,3,0
Tehri Garhwal,4,8,0,14,5,0,17,5,15,15,8,0
Udhamsingh Nagar,49,40,128,192,160,0,540,113,192,194,37,0
Uttarkashi,2,0,8,10,15,0,3,8,23,23,0,0
GRP,0,0,0,0,0,0,30,0,0,0,0,0
Alipurduar,40,468,46,144,24,0,150,2,31,34,122,70
Asansol-Durgapur PC,51,104,24,116,15,0,383,5,269,270,130,0
Bankura,66,470,54,110,18,15,115,4,69,69,78,104
Barrackpur PC,61,1378,549,410,22,6,625,7,762,764,239,0
Bidhannagar PC,14,86,64,65,6,0,206,2,482,491,147,0
Birbhum,81,584,38,181,31,65,170,0,130,137,200,30
Coochbehar,71,185,36,417,60,56,207,1,66,67,92,0
Dakshin Dinajpur,42,419,26,247,12,4,109,5,63,66,84,0
Darjeeling,19,158,57,71,17,5,154,0,60,60,90,0
Hooghly Rural Police,51,100,23,180,16,50,238,2,169,169,179,0
Howrah GRP,2,3,3,1,1,18,126,0,4,4,0,0
Howrah PC,36,254,58,221,16,23,321,1,255,257,180,0
Howrah Rural,69,824,9,206,20,6,92,13,78,79,69,0
Jalpaiguri,50,5,34,207,35,0,180,3,83,84,217,0
Jhargram,37,129,26,99,9,1,34,1,20,20,52,0
Kharagpur GRP,3,3,2,2,0,0,89,0,1,1,4,0
Kolkata,53,4508,304,308,11,31,1325,17,1615,1628,1267,0
Malda,93,1930,50,606,126,47,388,8,148,177,281,0
Murshidabad Police District,152,3503,85,598,136,0,225,0,232,244,129,0
Paschim Medinipur,107,1698,302,643,22,139,710,4,78,79,215,0
Purab Medinipur,85,75,76,760,45,25,310,8,66,66,257,145
Purulia,57,731,48,71,9,0,88,1,30,30,49,0
Sealdah GRP,9,18,2,5,0,6,56,0,1,1,1,0
Siliguri GRP,1,0,1,0,0,0,54,0,2,2,0,0
Siliguri PC,38,254,42,250,16,6,527,6,336,336,146,72
Baruipur Police,112,826,42,497,53,5,458,0,414,417,107,0
Chandannagar PC,19,53,11,81,8,0,120,0,220,220,78,0
Diamond Harbour Police,35,722,25,151,12,1,145,0,92,92,133,0
Kalimpong,7,27,6,17,6,0,36,0,8,8,18,0
Purba Bardhaman,101,683,124,341,24,0,302,0,346,347,667,0
Sundarban Police,44,1056,17,155,14,19,90,0,80,80,87,14
Barasat,39,1218,53,322,28,0,255,0,192,193,159,0
Basirhat,43,816,94,375,25,1,133,0,116,117,53,0
Bangaon,28,519,38,214,34,0,77,0,124,124,42,0
Islampur,36,669,3,145,16,13,176,0,31,31,78,224
Jangipur Police District,48,433,40,138,76,0,138,0,44,57,50,0
Krishnagar,75,1129,50,411,119,0,143,1,276,280,147,0
Raiganj,45,652,19,220,25,23,187,4,58,59,105,11
Ranaghat,28,132,7,324,21,0,100,1,46,46,48,0
South Andaman,4,46,11,6,1,0,21,19,17,18,93,2
North & Middle Andaman,0,31,3,1,1,0,3,3,0,0,33,0
Nicobar,1,8,1,0,0,0,1,2,4,4,3,0
Chandigarh,22,107,42,118,60,0,614,78,147,148,116,15
D&N Haveli,7,15,2,5,1,0,24,10,12,12,19,2
Daman,6,4,2,15,2,0,16,10,10,10,13,1
Diu,0,8,2,1,1,0,7,4,10,10,7,1
Central,14,240,115,156,75,0,7139,121,181,181,139,5
Crime Branch,0,0,1,1,0,0,2,0,49,49,0,0
East,22,289,146,228,70,0,14483,154,268,268,204,10
EOW,0,0,0,0,0,0,0,0,179,179,0,0
IGI Airport,1,7,5,0,3,0,149,0,123,123,23,28
Metro,0,2,8,1,1,0,2291,1,9,9,0,0
New Delhi,3,20,40,22,12,0,1591,25,206,231,107,3
North,25,223,74,215,47,0,10897,187,179,180,233,8
North-East,93,441,101,435,90,0,15667,105,88,88,204,1
North-West,35,204,121,301,74,0,16069,145,218,218,216,5
Outer,32,414,119,402,75,0,14016,203,238,238,239,7
RAILWAY,1,6,2,2,2,0,2068,0,2,2,1,0
South,33,199,136,240,74,0,11505,146,399,400,253,6
South-East,27,337,214,320,86,0,13553,267,380,380,325,17
South-West,16,97,102,218,73,0,7962,85,308,308,263,12
Spl Cell,0,0,6,0,0,0,0,0,83,86,0,0
SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
West,31,265,101,280,56,0,15092,145,379,381,266,26
Rohini,44,260,134,250,73,0,13467,175,191,191,170,13
Shahdara,21,267,101,162,44,0,10939,169,162,162,96,8
Dwarka,25,422,235,383,114,0,13858,109,513,513,311,20
Outer North,49,229,79,446,28,0,6691,162,66,66,193,13
Anantnag,4,38,138,67,18,0,91,65,25,27,228,0
Awantipora,1,18,22,18,0,0,14,27,10,10,82,0
Bandipora,6,167,29,22,13,0,38,13,2,3,58,0
Baramulla,4,161,116,67,15,0,96,41,21,21,213,57
Budgam,5,75,248,45,7,0,128,85,26,26,119,267
Crime Jammu,0,0,0,0,0,0,0,0,36,36,0,0
Crime Srinagar,0,0,0,0,0,0,0,0,24,24,0,0
Doda,4,115,32,17,13,0,12,22,3,3,170,71
Ganderbal,4,106,65,23,9,0,48,26,10,10,93,6
Handwara,8,109,25,36,1,0,62,12,6,6,107,32
Jammu,20,447,98,116,29,0,507,244,152,152,885,285
Kathua,10,173,36,33,14,0,65,40,23,23,292,98
Kishtwar,1,52,17,9,3,0,0,9,7,7,71,25
Kulgam,3,39,176,64,12,0,51,73,37,38,128,0
Kupwara,5,40,118,44,13,0,109,32,12,14,142,0
Poonch,7,164,57,30,12,0,25,21,11,11,154,141
Pulwama,8,91,30,19,6,0,49,21,8,8,52,19
Railways Jammu,0,0,0,0,0,0,2,0,0,0,1,0
Railways Kashmir,0,0,0,0,0,0,0,0,0,0,1,0
